Capsule Studio,"873 Broadway, Ste 204",New York,NY,10003,Event Space,40.738055,-73.990173
Evergreen,10 East 38th Street,NY,NY,10016,Restaurant,40.750638,-73.982234
St. Francis College,180 Remsen Street,Brooklyn,NY,11101,Public Space,40.6932529,-73.9915017
The New Pine Bar & Grill,1634 Eastchester Rd,Bronx,NY,10461,Restaurant,40.8452666,-73.8449647
Queens Crossing Mu Dan Banquet Hall,136-17 39th Ave. 2nd Fl,Flushing,NY,11364,Event Space,40.7469863,-73.7571411
Asser Levy Park,West 5th Street and Surf Avenue,Brooklyn,NY,11224,Public Space,40.5748539,-73.973356
Belmont Raceway,2150 Hempstead Turnpike,Elmont,NY,11003,Event Space,40.7081853,-73.7090871
Meadowlands Raceway,50 State Route 120,East Rutherford,NJ,7073,Event Space,40.8240181,-74.0736325
Giant Stadium,50 State Route 120,Rutherford,NJ,7073,Event Space,40.8240181,-74.0736325
Georgia Diner,86-55 Queens Blvd,Elmhurst,NY,11373,Restaurant,40.7359371,-73.8760289
Two Restaurant,# 1270 UNION TURNPIKE,New Hyde Park,NY,11040,Restaurant,40.7533599,-73.6986373
Ruskin Moscou,"1425 RXR Plaza, East Tower, 15th floor",Uniondale,NY,11556,Event Space,40.7,-73.58
Plainview Diner,1094 Old Country Rd,Plainview,NY,11803,Restaurant,40.776895,-73.468216
Ruby Tuesday's,2120 BROAD HOLLOW,Farmingdale,NY,11735,Restaurant,40.7482321,-73.4230804
Holiday Inn Plainview,215 Sunnyside Blvd,Plainview,NY,11803,Conference Center,40.796168,-73.466675
Sculpture Center,44-19 Purves Street,Long Island City,NY,11101,Event Space,40.7468992,-73.9411106
TD Bank,214-32 JAMAICA AVENUE,Jamaica,NY,11428,Event Space,40.716313,-73.742649
Bronx Botanical Gardens,1000 Washington Avenue,Bronx,NY,10458,Event Space,40.8262223,-73.9096817
Brooklyn Botanical Gardens,900 Washington Ave,Brooklyn,NY,11225,Event Space,40.667726,-73.9618296
Queens Botanical Gardens,43-50 Main Street,Flushing,NY,11355,Event Space,40.7515377,-73.826164
Gantry Park,4-74 48th Avenue,Long Island City,NY,11109,Event Space,40.7445376,-73.9569438
Noguchi Sculpture Center,9-01 33rd Road,Long Island City,NY,11106,Public Space,40.7667529,-73.9384089
QLIMG,206-20 Linden Blvd,Cambria Heights,NY,11411,Event Space,40.696128,-73.745051
Russo's on the Bay,162-45 Crossbay Blvd,Howard Beach,NY,,Event Space,40.6533986,-73.8383103
Bruno's on the Blvd,88-25 Astoria Blvd,Jackson Heights,NY,11369,Event Space,40.764226,-73.880412
Long Island Holocaust Museum,100 Crescent Beach Road,Glen Cove,NY,11542,Public Space,40.878084,-73.6414983
Kitchen Kabaret,409 Glen Cove Road,Roslyn Heights,NY,11577,Restaurant,40.793203,-73.621456
Blue Bay Diner,5850 Francis Lewis Boulevard,East Meadow,NY,11365,Restaurant,40.7395324,-73.7897911
Plum Restaurant,47-39 Bell Blvd,Bayside,NY,11360,Restaurant,40.7560497,-73.7673021
Center For Automotive Education & Training,15-30 Petracca Place,Whitestone,NY,11357,Conference Center,40.7836976,-73.8277598
Forest Park,"Myrtle Ave, Union Turnpike",Woodhaven,NY,,Event Space,40.7103233,-73.8402372
The Race Palace,1600 Round Swamp Rd.,Plainview,NY,11803,Restaurant,40.7839833,-73.4458131
Royalton Hotel,44 West 44th Street,New York,NY,10036,Conference Center,40.7556607,-73.9820482
Happy Times Café,535 BROADHOLLOW,Melville,NY,11747,Restaurant,40.767828,-73.4219339
Ben & Jack's,255 5th Avenue,New York,NY,,Restaurant,40.744806,-73.986268
Akwaaba Mansion,347 MacDonough Street,Brooklyn,NY,11233,Conference Center,40.682505,-73.932676
Arirang Hibachi Steakhouse & Sushi Bar,8814 Fourth Avenue,Brooklyn,NY,11209,Restaurant,40.620998,-74.029115
Muttown Country Club,5933 Northern Blvd,East Norwich,NY,11771,Event Space,40.8373672,-73.5551669
SoHo House,29 9th Avenue,New York,NY,10014,Event Space,40.740418,-74.005899
Shi Restaurant,47-20 Center Blvd,Long Island City,NY,11101,Restaurant,40.7464975,-73.9565288
Club 101,101 Park Avenue,NY,NY,10017,Event Space,40.750814,-73.9783377
Garden City Hotel,45 Seventh Street,Garden City,NY,11530,Conference Center,40.724063,-73.63963
Matteo's,300 W. Jericho Tpke,Huntington,NY,11746,Restaurant,40.828228,-73.42062
Imperial Diner ,63 West Merrick Road ,Freeport,NY,,Restaurant,40.6537824,-73.5829433
John Harvards Restaurant,2093 Smith Haven Plz,Lake Grove,NY,11755,Restaurant,40.8631017,-73.1287159
Panera Bread/ Rockville Centre ,313 Merrick Road ,Rockville Centre,NY,11570,Restaurant,40.6560193,-73.6438245
FOUR Food Studio & Cocktail Salon,515 Broadhollow Road,Melville,NY,11747,Restaurant,40.770977,-73.421181
Retro Lounge & Grill,10 Brooklyn Avenue,Freeport,NY,11520,Restaurant,40.6573676,-73.5841907
The Blue Lagoon,677 Farmingdale Rd,West Babylon,NY,,Restaurant,40.714624,-73.3820474
Panera Bread,1025 Montauk Highway,West Babylon,NY,,Restaurant,40.684286,-73.3509962
Adelphi University,55 Kennedy Blvd,Hauppauge,NY,,Public Space,40.8097654,-73.2365584
American Red Cross in Nassau County,195 Willis Avenue,Mineola ,NY,11501,Public Space,40.7457529,-73.6393008
Wyld Chyld Tatoo Café,1708 Sunrise Highway,Merrick,NY,11566,Restaurant,40.6603095,-73.5629762
Freeport Memorial Library ,144 West Merrick Road ,Freeport,NY,11520,Public Space,40.6535593,-73.586754
Panera Bread,5274 Sunrise Highway,Massapequa Park,NY,,Restaurant,40.6780641,-73.4433258
Holiday Inn Westbury,369 Old Country Road ,Carle Place,NY,11514,Conference Center,40.746334,-73.602199
Holiday Inn Express Hotel Stony Brook,3131 Nesconset Hwy.,Stonybrook,NY,,Conference Center,40.8912409,-73.0931871
Fireside at the Empire Hotel Roof Lounge,44 W. 63rd Street,New York,NY,10023,Restaurant,40.771296,-73.982095
Bar Basque,839 6th Avenue,New York,NY,,Restaurant,40.7470257,-73.9898217
Webster Hall,125 East 11th Street,New York,NY,10003,Event Space,40.7316872,-73.9892914
Garden State Exhibit Center,50 Atrium Drive,Somerset,NJ,8873,Event Space,40.5380201,-74.5229212
Waldorf Astoria,301 Park Avenue,New York,NY,10022,Conference Center,40.7567283,-73.9740641
The Times Center,242 West 41st Street,New York,NY,,Event Space,40.7560064,-73.9889878
Fairfield University,1073 North Benson Road Gonzaga Hall,Fairfield,CT,6824,Public Space,,
John Jay High School,60 North Salem Road,Cross River,NY,,Public Space,41.2757201,-73.6103874
The City College of New York,160 Convent Avenue,New York,NY,10031,Public Space,40.8211506,-73.9488681
Microsoft Conference Center,1290 Avenue of the Americas 6th Floor,New York,NY,10019,Event Space,40.7607191,-73.9798164
World-Famous Marshall Chess Club,23 West 10th Street,New York,NY,10011,Public Space,40.734144,-73.996591
North Star Vailsburg Campus,24 Hazelwood Avenue,Newark,NJ,7106,Public Space,40.7448859,-74.233118
The Economist,750 3rd Avenue 5th Floor,New York,NY,10017,Event Space,40.753814,-73.972797
Asian American Asian Research Institute,"25 West 43rd Street, 18th Fl",New York,NY,10036,Event Space,40.7651023,-74.0023612
Stir ,1363 First Avenue ,New York,NY,10021,Event Space,40.768778,-73.9555357
Plug Uglies,257 3rd Avenue,New York,NY,10010,Event Space,40.737222,-73.983957
Roger Smith Hotel,Lexington Ave & E 47th St,New York,NY,10017,Conference Center,40.7546302,-73.9737564
Bamboo 52 ,344 West 52nd Street,New York,NY,10019,Event Space,40.764082,-73.9866431
Nirvana,346 Lexington Ave,New York,NY,10016,Event Space,40.750019,-73.977412
Bar 13,35 East 13th Street,New York,NY,10003,Event Space,40.7344291,-73.991922
Dewey's Flat Iron,210 Fifth Avenue,New York,NY,10010,Event Space,40.743349,-73.988725
Aaron's Place,222 West 83rd St.,New York,NY,,Event Space,40.7861163,-73.9776074
Chateau Briand,440 Old Country Road,Carle Place,NY,,Event Space,40.745923,-73.603989
Morris Yacht & Beach Club,1 City Island,Bronx,NY,,Event Space,40.836848,-73.783088
Locust Point Civic Association,3300 Tierney Place,Bronx,NY,10465,Public Space,40.8163716,-73.7994234
PeaceLove Café,617 Melrose Avenue,Bronx,NY,,Restaurant,40.8176553,-73.9170762
West 5 Supper Club,505 Madison Street ,Hoboken,NJ,7052,Restaurant,40.743841,-74.037346
Stevens Institute of Technology,600 River Terrace,Hoboken,NJ,7030,Public Space,40.7431049,-74.0270227
Room 84,84 Washington Street,Hoboken,NJ,,Restaurant,40.736886,-74.0310992
"Supreme Court, Kings County",360 Adams Street,Brooklyn,NY,11201,Public Space,40.6938596,-73.9892283
Public Assembly,70 North 6th Street,Brooklyn,NY,11211,Restaurant,40.7190269,-73.961608
Alpha One Labs,148 Frost Street,Brooklyn,NY,11211,Event Space,40.717785,-73.945538
Forum,127 4th Avenue,New York,NY,10003,Event Space,40.7334867,-73.9898528
Columbia University Lerner Hall,2920 Broadway,New York,NY,10027,Event Space,40.807124,-73.964247
York Theatre at Saint Peter's ,619 Lexington Ave,New York,NY,10022,Event Space,40.7584633,-73.970918
Pier Sixty @ Chelsea Piers,Pier 60 - West 23rd Street,New York,NY,10011,Event Space,40.7464911,-74.001358
Heimbold Visual Arts Building Sarah Lawrence,1 Mead Way,Bronxville,NY,10803,Event Space,40.934806,-73.843344
Sarah Lawrence,1 Mead Way,Bronxville,NY,10803,Public Space,40.934806,-73.843344
Amarachi Lounge,325 Franklin Avenue,Brooklyn,NY,11238,Restaurant,40.6883177,-73.9569707
Boswick Farms,1609 DeKalb Avenue,Brooklyn,NY,11237,Event Space,40.7038639,-73.9196994
The Berkeley Carroll School,701 Caroll Street,Brooklyn,NY,11215,Public Space,40.674248,-73.977699
Regus,245 Park Ave,New York,NY,10167,Event Space,40.7546423,-73.9748948
Laser Cosmetica,18 W. 23rd Street,New York,NY,,Event Space,40.7417371,-73.9903778
Yu Café,2525 Amsterdam Ave,New York,NY,10033,Restaurant,40.850802,-73.928767
Hudson Manor at LaQuinta Inn & Suites,350 Lighting Way,Secaucus,NJ,7094,Conference Center,40.7906727,-74.0496424
Kirkland & Ellis LLP,601 Lexington Avenue,New York,NY,10022,Event Space,40.7587744,-73.9707531
Stage 6 at Steiner Studios,15 Washington Avenue,Brooklyn,NY,11205,Event Space,40.6980502,-73.968244
Kramer Levin Naftalis & Frankel LLP,1177 Avenue of the Americas,New York,NY,10036,Event Space,40.757235,-73.982881
Museum of Jewish Heritage,36 Battery Place,New York,NY,10280,Public Space,40.7061926,-74.0179682
Mt Aery Baptist Church,73 Frank Street,Bridgeport,CT,6604,Event Space,41.1879007,-73.1961435
Tammany Hall,152 Orchard Street,New York,NY,10002,Restaurant,40.7207366,-73.9887598
Johnny Utah's,25 West 51st Street,New York,NY,10019,Restaurant,40.760372,-73.979525
Wesport Public Library,20 Jesup Road,Wesport ,CT,6880,Public Space,41.140759,-73.3615766
Greenhouse NY,150 Varick Street ,New York,NY,,Event Space,40.726008,-74.00532
The Jewish Center,131 West 86th Street,New York,NY,10024,Event Space,40.7871387,-73.9732945
New York Hilton,1335 Ave of the Americas,New York,NY,10019,Conference Center,40.762583,-73.980029
Melville Marriott Long Island, 1350 Old Walt Whitman Road,Melville,NY,11747,Conference Center,40.7837094,-73.4218373
Hotel Pennsylvania,"401 7th Street Penntop Ballroom, 18th floor",New York,NY,10001,Conference Center,40.7515907,-74.0044326
Corporate Office,35 Glover Avenue,Norwalk,CT,6851,Event Space,41.1443484,-73.4281162
The School of Visual Arts,333 West 23rd Street,New York,NY,,Public Space,40.745927,-73.999747
Mac & Milk Studios,450 West 15th Street,New York ,NY,10011,Event Space,40.742282,-74.00631
The Phenomenal DWYER CULTURAL CENTER,258 ST. NICHOLAS AVE ,New York,NY,,Event Space,40.8091529,-73.9529821
 Sarah Lawrence College Reisinger Concert Hall,1 Mead Way,Bronxville,NY,,Event Space,40.934806,-73.843344
BACCA Arts Center Theatre,149 North Wellwood Avenue,Lindenhurst,NY,11757,Public Space,40.687719,-73.374912
Omni New Haven Hotel at Yale,155 Temple Street,New Haven,NY,6510,Conference Center,41.3057728,-72.9274244
NYC REACH Office,161 William Street,New York,NY,,Event Space,40.7100325,-74.0059391
New York Law School,185 West Broadway,New York,NY,,Public Space,40.718071,-74.007007
Empire Hotel,44 West 63rd Street,New York,NY,,Conference Center,40.771296,-73.982095
OpenSky HQ,18 West 18th Street.,New York,NY,,Event Space,40.7390414,-73.9932407
"Sheraton Hotel, Newark Airport",128 Frontage Road,Newark,NJ,7114,Conference Center,40.7117064,-74.1595007
"Doubletree Hotel Hudson Ballroom, 6th Fl",1568 Broadway,New York,NY,10036,Conference Center,40.7591043,-73.9846158
Rutgers University ,118 Frelinghuysen Road,Piscataway,NJ,8854,Public Space,40.5229339,-74.4674334
Dave and Buster's Special Events Center,261 Airport Plaza,Farmingdale,NY,11735,Event Space,40.7373049,-73.4195549
Highline Ballroom,437 West 16th Street,New York,NY,10011,Event Space,40.7429706,-74.0060011
Digital Sandbox,55 Broad Street 4th floor,New York,NY,,Event Space,40.7051214,-74.0114934
The Prince George Ballroom,15 East 27th Street,New York,NY,,Event Space,40.7436013,-73.9866029
ShipWreck,120-06 Rockaway Blvd,South Ozone Park,NY,11420,Restaurant,40.6758503,-73.817474
"Pfizer Auditorium, Dibner Building",5 Metro-tech Center,Brooklyn,NY,11201,Conference Center,40.707581,-74.013781
Club H Fitness,423 W 55th Street,New York ,NY,,Event Space,40.767187,-73.9877525
NYU Stern Business School Kaufman Management Center,44 W. 4th Street,New York,NY,10012,Event Space,40.7290941,-73.9959767
Speedway School,701 South Orange Avenue,Newark,NJ,7106,Public Space,40.7450878,-74.2178851
Haworth showroom,125 Park Avenue Second Floor,New York ,NY,10017,Event Space,40.7820083,-73.9487295
Ethical Culture Society,7 Saxon Wood Road,White Plains ,NY,,Event Space,40.9886106,-73.7458785
The Lott,55 W. 21st St,New York ,NY,10010,Event Space,40.7413856,-73.9931037
New York County Lawyers' Association ,14 Vesey Street ,New York,NY,10007,Event Space,40.7117664,-74.0094224
The Gershwin Hotel,7 East 27th Street,New York,NY,10016,Event Space,40.743737,-73.9869274
THE MADISON HOTEL,One Convent Rd,Morristown,NJ,,Conference Center,40.777552,-74.444722
Al Oerter Recreation Center,Fowler Ave College Point Blvd - Rear of Bldg,Flushing,NY,11355,Event Space,40.7519414,-73.8323489
Lea Lounge,230 Park Avenue,New York,NY,10169,Event Space,40.7544061,-73.9765734
Santos Party House,96 LAFAYETTE ST,New York,NY,10013,Event Space,40.7176005,-74.0013207
McGraw Hill Conference Center,1221 Avenue of the Americas,New York,NY,10036,Event Space,40.7587388,-73.9813121
